flow_idx,from_node,to_node,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_ci_width,relative_ci_width,obs: Other literature,obs: USGS value 1,obs: USGS value 2,n_observations,determined_by,prior_mean,prior_sd,contraction,shift_in_prior_sd,share_observations,share_mass_balance
124,permanent_semi_permanent_mold_cast,transportation_auto,389.9652995955271,282.22150637031405,492.5732991785872,210.35179280827316,0.5394115656609717,,483.0,,1,structure-determined,,,,,0.0004894904341697,0.9995105095658304
125,permanent_semi_permanent_mold_cast,transportation_other,69.79648570710489,18.037774907702246,121.9423408214335,103.90456591373126,1.488679048251198,,70.0,,1,structure-determined,,,,,0.0195140915128697,0.9804859084871304
126,permanent_semi_permanent_mold_cast,machine_industry,18.164815105834165,4.565825557075915,31.407234787854126,26.84140923077821,1.4776593691921094,,18.0,,1,structure-determined,,,,,0.1644290428011052,0.8355709571988948
127,permanent_semi_permanent_mold_cast,electrical_equipment,23.69881279167499,6.038482743243134,41.69107214181761,35.65258939857447,1.5044040269856325,,24.0,,1,structure-determined,,,,,0.1376321134242392,0.8623678865757608
128,permanent_semi_permanent_mold_cast,consumer_durables,46.432857556734554,11.98950564788251,83.16780642509924,71.17830077721673,1.5329295788062722,,48.0,,1,structure-determined,,,,,0.0414610521169157,0.9585389478830842
129,permanent_semi_permanent_mold_cast,other_end_uses,34.835707167201164,8.718936020483861,59.037865612363916,50.31892959188006,1.4444641341817455,,34.0,,1,structure-determined,,,,,0.0122849547621357,0.987715045237864
130,other_cast,other_end_uses,25.14059349754256,20.17516336440028,30.126231570524368,9.951068206124088,0.39581675775063874,,84.0,,1,structure-determined,,,,,4.808795082891405e-05,0.999951912049171
131,import_mill_semifinished_products,rolling,1131.4813192490033,1026.8422468996523,1241.7085944295552,214.8663475299029,0.18989827218050395,,1100.0,,1,observation-driven,,,,,0.6173025473463051,0.3826974526536949
132,import_mill_semifinished_products,extrusion,0.38917011758151066,0.018634556936601307,0.9544422560652261,0.9358076991286248,2.4046237284203156,,0.0,,1,observation-driven,,,,,0.9995084909128228,0.0004915090871772
133,import_mill_semifinished_products,drawing,224.67394721983914,201.9106586268971,246.1501574996215,44.239498872724425,0.19690533513187858,,229.5269584770069,,1,structure-determined,,,,,0.1073107858055861,0.8926892141944138
134,import_mill_semifinished_products,other_milling_processes,0.40189774725377236,0.02135756804188667,0.9532167636351939,0.9318591955933072,2.3186474718030667,,0.0,,1,observation-driven,,,,,0.965692623871585,0.034307376128415
135,import_mill_semifinished_products,sheet_plate,0.39936640600468853,0.018063878347848637,0.9551749262668487,0.9371110479190001,2.346494431752476,,0.0,,1,observation-driven,,,,,0.9997621968670368,0.0002378031329632
136,import_mill_semifinished_products,foil,206.19262092388925,185.58864507596567,226.21376069891633,40.62511562295066,0.19702507025189026,,205.0,,1,structure-determined,,,,,0.2888330604311344,0.7111669395688657
