flow_idx,flow_label,total_precision,share_observations,share_prior,share_allocation,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
143,rolling -> foil,0.01621236106285567,0.0,0.9957296470935225,0.004270352906477415,0.0,0,,,,,prior-informed,468.25252082704674,41.8932346005624,437.54219077307465,55.31070622326585,0.4263204350394362,0.555233012755388
144,rolling -> export_milling_semifinished_products,0.0008556342221565159,0.003338925775361656,0.19178770373775827,0.07986878335934501,0.7250045871275351,1,observation_2022,826.6,826.6,0.0,structure-determined,637.4352179666664,39.47491836376725,382.66508190216234,180.2134556452604,0.9520191373241327,1.413713172261699
145,scrap_rolling -> forming_scrap_generated,0.003354338125223302,0.0,1.0,0.0,0.0,0,,,,,prior-informed,1351.3594807741174,264.188893990758,1687.3148867518537,675.4444770813342,0.8470146643787767,-0.4973841927458413
146,extrusion -> scrap_extrusion,0.013893254662083139,0.0,0.9977440726225383,0.0022559273774616292,0.0,0,,,,,prior-informed,617.9838924171182,145.5954800139566,720.1544011852613,340.0206114847419,0.8166481496715228,-0.3004832804752718
147,extrusion -> extruded_products,0.001788487005040359,0.00013214806564257133,0.9979125240755491,0.001955327858808268,0.0,1,observation_2022,2873.886133,2873.886133,0.0,prior-informed,2141.263339948085,102.76888553040472,2386.519153274155,133.44085568145357,0.4068757817290344,-1.8379364556199944
148,extrusion -> export_milling_semifinished_products,0.0023713556373895937,0.3152442848086425,0.32213479670599166,0.10102424939626695,0.2615966690890988,1,observation_2022,51.1,51.1,0.0,structure-determined,69.50964838754449,16.694695744609405,139.5276882208356,91.84752725761813,0.9669613662232097,-0.7623290677918997
149,scrap_extrusion -> forming_scrap_generated,0.013975021325248211,0.0,1.0,0.0,0.0,0,,,,,prior-informed,617.9838924171181,145.59548001395666,720.6878465355838,340.14464362076507,0.8167818420625234,-0.3019420003949046
150,drawing -> scrap_drawing,0.2699169661304832,0.0,0.9973877578054399,0.0026122421945601964,0.0,0,,,,,prior-informed,194.96291266427042,19.34359623526399,186.6193351640478,25.358688462830127,0.4181368412721522,0.32902243790929214
151,drawing -> wire,0.07398553918422646,0.0,0.9932841398852023,0.0067158601147977,0.0,0,,,,,prior-informed,329.359811169583,25.00202849840001,224.00224485809454,41.3709215182463,0.6347753325496943,2.54665746966795
152,drawing -> export_milling_semifinished_products,0.07710408302995034,0.3622394798303125,0.5981725214903486,0.03154252674595487,0.008045471933383994,1,observation_2022,8.36,8.36,0.0,prior-informed,10.873341996388005,2.9543591652218164,52.31684138055751,18.61829336322929,0.9748205148540611,-2.2259558690819365
153,scrap_drawing -> forming_scrap_generated,0.2289301456282575,0.0,1.0,0.0,0.0,0,,,,,prior-informed,194.96291266427042,19.343596235263984,186.58290092599484,25.381777210746407,0.41919495326192413,0.33015858852970964
154,other_milling_processes -> scrap_other_milling_processes,0.2312111043039969,0.0,0.997889750753323,0.0021102492466769677,0.0,0,,,,,prior-informed,164.86666809950694,35.29688692750989,170.85896289819584,81.76995947547726,0.8136689452510057,-0.07328235010910072
155,other_milling_processes -> forging_impacts,0.37970686372237034,0.00023106518624888727,0.9981842179017862,0.0015847169119648208,0.0,1,observation_2022,149.1596564,149.1596564,0.0,prior-informed,133.9590221068132,9.521799521522269,144.1079107061926,11.91339629172236,0.36119708466096456,-0.8518887772104947
156,other_milling_processes -> powerder_paste,2.3275390736991763,0.0,0.9966217733203748,0.003378226679625225,0.0,0,,,,,prior-informed,38.200375962124355,5.669744056582252,39.83783321654129,6.606287037713203,0.26343338609866296,-0.24786347384986623
