flow_idx,flow_label,total_precision,share_observations,share_prior,share_mass_balance,share_aggregate_observations,n_observations,sources,obs_min,obs_max,obs_spread_pct,determined_by,posterior_mean,posterior_sd,prior_mean,prior_sd,contraction,shift_in_prior_sd
134,import_mill_semifinished_products -> other_milling_processes,9.342520154911849,0.0,0.9927911563989252,0.007198585683274208,1.025791780050041e-05,0,,,,,prior-informed,0.543610694459907,0.2952751306044266,0.43026814879037073,0.33368367296284224,0.21696021939622856,0.33967063675350284
135,import_mill_semifinished_products -> sheet_plate,9.122809735680557,0.0,0.999927665706364,6.18293278879535e-05,1.0504965747973575e-05,0,,,,,prior-informed,0.39853004125723146,0.2528398788838375,0.4275551509988541,0.33586595659270535,0.43329221934768003,-0.08641873096063896
136,import_mill_semifinished_products -> foil,0.06274708687451772,0.29103350701381214,0.3511576925466497,0.35628148166551676,0.0015273187740214229,1,observation_2022,148.0,148.0,0.0,structure-determined,164.5777961166277,6.395260599415048,206.09149679803352,12.647132293350504,0.7442990335842634,-3.2824595899287403
137,import_mill_semifinished_products -> extruded_products,9.009572596525448,0.0,0.9997604500675249,0.0002289129346850123,1.0636997790057534e-05,0,,,,,prior-informed,0.31058688657948286,0.22216754536108516,0.426966925683222,0.3380285463867815,0.5680291134488773,-0.3442905646512289
138,import_mill_semifinished_products -> wire,7.886783353303567,0.9893137282271004,0.004089674867453352,0.0065844455885524485,1.2151316893782992e-05,1,observation_2022,7.16,7.16,0.0,observation-driven,7.271403207864208,0.3619378221561069,301.8239577099109,18.254569076362802,0.99960688033679,-16.135826229031746
139,import_mill_semifinished_products -> forging_impacts,10.155422760221436,0.0,0.9417974767735036,0.0581930864156357,9.436810860694731e-06,0,,,,,prior-informed,0.5305931797928235,0.29403925712512163,0.427061197600059,0.3355942990612037,0.2323177759042261,0.3085033997370824
140,import_mill_semifinished_products -> powerder_paste,7.9504428522794,0.1454262423784924,0.43540145849722167,0.4191602451034497,1.2054020836226523e-05,1,observation_2022,18.6,18.6,0.0,prior-informed,16.542343161903837,0.6477760860102958,15.011950135250792,0.9135898265259077,0.4972555178813114,1.6751423693854424
141,rolling -> scrap_rolling,0.01521281285652255,0.0,0.17022687217614188,0.829773127823858,0.0,0,,,,,structure-determined,1023.7928535531211,521.9575701891977,1684.2720951648496,675.3361571405992,0.4026478969767646,-0.9780007106508625
142,rolling -> sheet_plate,0.0012978529001823164,9.387629375604227e-05,0.3392188303371187,0.6606872933691252,0.0,1,observation_2022,4002.691813,4002.691813,0.0,structure-determined,3942.5585901702807,207.5983571390005,4592.981923311028,267.1519223430878,0.39614701494470517,-2.4346571323018464
143,rolling -> foil,0.03879217136692403,0.0,0.4161439793348203,0.5838560206651796,0.0,0,,,,,structure-determined,494.2217229653493,54.00061438570654,437.54219077307465,55.31070622326585,0.04681105989450107,1.0247479387351048
144,rolling -> export_milling_semifinished_products,0.0010807134832381722,0.0026435305961758754,0.15184424479941094,0.2715037148669051,0.5740085097375079,1,observation_2022,826.6,826.6,0.0,structure-determined,691.7138775962296,43.85206129075119,382.66508190216234,180.2134556452604,0.9407885637019883,1.7149041096154976
145,scrap_rolling -> forming_scrap_generated,0.018531376344169116,0.0,0.18100858041657236,0.8189914195834276,0.0,0,,,,,structure-determined,1026.8120159732907,521.9020212795308,1687.3148867518537,675.4444770813342,0.40296657228201904,-0.9778788533924573
146,extrusion -> scrap_extrusion,0.0422055893633949,0.0,0.32843783720625874,0.6715621627937413,0.0,0,,,,,structure-determined,611.2221256320286,301.7406468096835,720.1544011852613,340.0206114847419,0.2124880624120189,-0.32036962429297033
147,extrusion -> extruded_products,0.0050700902105495,4.661556073522879e-05,0.35201613923210867,0.647937245207156,0.0,1,observation_2022,2873.886133,2873.886133,0.0,structure-determined,2096.9768543292384,125.13128824690645,2386.519153274155,133.44085568145357,0.12066533323080098,-2.1698174630722113
148,extrusion -> export_milling_semifinished_products,0.0033544837947176095,0.22285286132937085,0.22772391012024878,0.3644950029486835,0.18492822560169694,1,observation_2022,51.1,51.1,0.0,structure-determined,57.120318575727445,20.830400649497168,139.5276882208356,91.84752725761813,0.9485648146515389,-0.897219251357396
149,scrap_extrusion -> forming_scrap_generated,0.04394327825686332,0.0,0.3180240955979544,0.6819759044020456,0.0,0,,,,,structure-determined,610.6267420435213,301.80610729692336,720.6878465355838,340.14464362076507,0.21272080459043397,-0.3235714763004534
150,drawing -> scrap_drawing,0.6792634844117512,0.0,0.3963290885210319,0.6036709114789681,0.0,0,,,,,structure-determined,164.61858519779548,24.897753228441324,186.6193351640478,25.358688462830127,0.036022849749864694,-0.8675823277887676
151,drawing -> wire,0.1528090120899335,0.0,0.4809183807123668,0.5190816192876332,0.0,0,,,,,structure-determined,425.54325065267255,38.680724278796006,224.00224485809454,41.3709215182463,0.12582414801450648,4.871561918331697
152,drawing -> export_milling_semifinished_products,0.10206227900761343,0.27365784108621527,0.45189607964550854,0.2683680380761871,0.006078041192089193,1,observation_2022,8.36,8.36,0.0,prior-informed,9.61143998573863,3.363812386316891,52.31684138055751,18.61829336322929,0.9673574714478052,-2.293733403039029
153,scrap_drawing -> forming_scrap_generated,0.6144387714560176,0.0,0.37258414713278665,0.6274158528672135,0.0,0,,,,,structure-determined,165.07692323113122,24.906313430536223,186.58290092599484,25.381777210746407,0.037114065500837956,-0.8472999158529446
154,other_milling_processes -> scrap_other_milling_processes,0.536837858324722,0.0,0.42978189348515805,0.570218106514842,0.0,0,,,,,structure-determined,214.8994546281829,77.26795349106577,170.85896289819584,81.76995947547726,0.10708266493896468,0.5385901131967022
155,other_milling_processes -> forging_impacts,1.037333461939569,8.45793955416639e-05,0.36537662449255337,0.634538796111905,0.0,1,observation_2022,149.1596564,149.1596564,0.0,structure-determined,128.56190142925797,11.541168170853279,144.1079107061926,11.91339629172236,0.06151278291639617,-1.3049183369931436
156,other_milling_processes -> powerder_paste,5.719438625577787,0.0,0.40557758741019767,0.5944224125898024,0.0,0,,,,,structure-determined,37.34917222902793,6.497098239950489,39.83783321654129,6.606287037713203,0.032782850703398925,-0.3767109986754109
157,other_milling_processes -> export_milling_semifinished_products,8.9860979516711,5.0172157573004205e-05,0.9923966862081102,0.007484108474506721,6.903315981008343e-05,1,observation_2022,65.8,65.8,0.0,prior-informed,13.410851800346581,0.19233762569234353,0.42380377515626527,0.3408320239203519,0.6815452623703717,38.10395477458193
158,scrap_other_milling_processes -> forming_scrap_generated,0.4255635514229966,0.0,0.43202605797482474,0.5679739420251753,0.0,0,,,,,structure-determined,215.18595541715226,77.27427758797812,170.89400954549635,81.81342951997487,0.10788526822977684,0.5413774502735149
159,sheet_plate -> scrap_sheet_plate,0.025780179867091156,0.0,0.40564491524416135,0.5943550847558386,0.0,0,,,,,structure-determined,832.0337231075814,73.05421723841175,823.6298657311346,73.14338567254993,0.002436695570119274,0.11489565733352021
160,sheet_plate -> building_construction,0.015734293244488277,0.0,0.30499819269968265,0.6950018073003175,0.0,0,,,,,structure-determined,109.90759101434205,83.25155738738172,250.4856608274545,149.35185941416358,0.6892841087154528,-0.9412542325521319
161,sheet_plate -> transportation_auto,0.002491270649372256,0.0,0.39254745097454014,0.60745254902546,0.0,0,,,,,structure-determined,712.6881299094963,99.3709082972058,810.0470403033147,103.55759812283371,0.07922274894978054,-0.9401426081583816
